horoscopo;fecha inicio;fecha final
Rata;05-02-1924;24-01-1925
Buey;25-01-1925;12-02-1926
Tigre;13-02-1926;01-02-1927
Conejo;02-02-1927;22-01-1928
Dragón;23-01-1928;09-02-1929
Serpiente;10-02-1929;29-01-1930
Caballo;30-01-1930;16-02-1931
Cabra;17-02-1931;05-02-1932
Mono;06-02-1932;25-01-1933
Gallo;26-01-1933;13-02-1934
Perro;14-02-1934;03-02-1935
Cerdo;04-02-1935;23-01-1936
Rata;24-01-1936;10-02-1937
Buey;11-02-1937;30-01-1938
Tigre;31-01-1938;18-02-1939
Conejo;19-02-1939;07-02-1940
Dragón;08-02-1940;26-01-1941
Serpiente;27-01-1941;14-02-1942
Caballo;15-02-1942;04-02-1943
Cabra;05-02-1943;24-01-1944
Mono;25-01-1944;12-02-1945
Gallo;13-02-1945;01-02-1946
Perro;02-02-1946;21-01-1947
Cerdo;22-01-1947;09-02-1948
Rata;10-02-1948;28-01-1949
Buey;29-01-1949;16-02-1950
Tigre;17-02-1950;05-02-1951
Conejo;06-02-1951;26-01-1952
Dragón;27-01-1952;13-02-1953
Serpiente;14-02-1953;02-02-1954
Caballo;03-02-1954;23-01-1955
Cabra;24-01-1955;11-02-1956
Mono;12-02-1956;30-01-1957
Gallo;31-01-1957;17-02-1958
Perro;18-02-1958;07-02-1959
Cerdo;08-02-1959;27-01-1960
Rata;28-01-1960;14-02-1961
Buey;15-02-1961;04-02-1962
Tigre;05-02-1962;24-01-1963
Conejo;25-01-1963;12-02-1964
Dragón;13-02-1964;01-02-1965
Serpiente;02-02-1965;20-01-1966
Caballo;21-01-1966;08-02-1967
Cabra;09-02-1967;29-01-1968
Mono;30-01-1968;16-02-1969
Gallo;17-02-1969;05-02-1970
Perro;06-02-1970;26-01-1971
Cerdo;27-01-1971;14-02-1972
Rata;15-02-1972;02-02-1973
Buey;03-02-1973;22-01-1974
Tigre;23-01-1974;10-02-1975
Conejo;11-02-1975;30-01-1976
Dragón;31-01-1976;17-02-1977
Serpiente;18-02-1977;06-02-1978
Caballo;07-02-1978;27-01-1979
Cabra;28-01-1979;15-02-1980
Mono;16-02-1980;04-02-1981
Gallo;05-02-1981;24-01-1982
Perro;25-01-1982;12-02-1983
Cerdo;13-02-1983;01-02-1984
Rata;02-02-1984;19-02-1985
Buey;20-02-1985;08-02-1986
Tigre;09-02-1986;28-01-1987
Conejo;29-01-1987;16-02-1988
Dragón;17-02-1988;05-02-1989
Serpiente;06-02-1989;26-01-1990
Caballo;27-01-1990;14-02-1991
Cabra;15-02-1991;03-02-1992
Mono;04-02-1992;22-01-1993
Gallo;23-01-1993;09-02-1994
Perro;10-02-1994;30-01-1995
Cerdo;31-01-1995;18-02-1996
Rata;19-02-1996;06-02-1997
Buey;07-02-1997;27-01-1998
Tigre;28-01-1998;15-02-1999
Conejo;16-02-1999;04-02-2000
Dragón;05-02-2000;23-01-2001
Serpiente;24-01-2001;11-02-2002
Caballo;12-02-2002;31-01-2003
Cabra;01-02-2003;21-01-2004
Mono;22-01-2004;08-02-2005
Gallo;09-02-2005;28-01-2006
Perro;29-01-2006;17-02-2007
Cerdo;18-02-2007;06-02-2008
Rata;07-02-2008;25-01-2009
Buey;26-01-2009;13-02-2010
Tigre;14-02-2010;02-02-2011
Conejo;03-02-2011;22-01-2012
Dragón;23-01-2012;09-02-2013
Serpiente;10-02-2013;30-01-2014
Caballo;31-01-2014;18-02-2015
Cabra;19-02-2015;07-02-2016
Mono;08-02-2016;27-01-2017
Gallo;28-01-2017;15-02-2018
Perro;16-02-2018;04-02-2019
Cerdo;05-02-2019;24-01-2020
Rata;25-01-2020;11-02-2021
Buey;12-02-2021;31-01-2022
Tigre;01-02-2022;21-01-2023
Conejo;22-01-2023;09-02-2024
